zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,priceForHDP,taxAssessedValue,lotAreaValue,brokerName
2060258599,333 Wethersfield Dr #214,V5X4M9,Vancouver,BC,49.2246,-123.11402,1199888.0,2.0,3.0,1246.0,CONDO,1199888.0,,0.0,Macdonald Realty Brokerage
2059926221,885 Cambie St #1904,V6B0R6,Vancouver,BC,49.277515,-123.11653,2980000.0,3.0,3.0,1431.0,CONDO,2980000.0,,0.0,Sutton Group-West Coast Realty Brokerage
2069444667,1135 Barclay St #5,V6E1G8,Vancouver,BC,49.28442,-123.12829,1479000.0,2.0,2.0,1306.0,TOWNHOUSE,1479000.0,,0.0,Oakwyn Realty Ltd. Brokerage
314383067,6751 Knight St,V5P2W4,Vancouver,BC,49.22291,-123.07785,1488000.0,4.0,4.0,1618.0,MULTI_FAMILY,1488000.0,1108800.0,3920.4,Sutton Group-West Coast Realty Brokerage
2068709089,4770 Duchess St #SL1,V5R3L5,Vancouver,BC,,,1049000.0,3.0,3.0,1086.0,TOWNHOUSE,1049000.0,,0.0,Royal LePage Sterling Realty Brokerage
2061052190,455 Beach Cres #502,V6Z3E5,Vancouver,BC,49.272663,-123.127754,1398000.0,2.0,2.0,1165.0,CONDO,1398000.0,,0.0,Oakwyn Realty Ltd. Brokerage
2059991625,1723 Alberni St #1002,V6G3G9,Vancouver,BC,49.291714,-123.13309,899000.0,2.0,2.0,780.0,CONDO,899000.0,,0.0,Sutton Group-West Coast Realty Brokerage
2061601209,1335 Howe St #1602,V6Z1R7,Vancouver,BC,,,1798000.0,2.0,2.0,1090.0,CONDO,1798000.0,,0.0,RE/MAX Crest Realty Brokerage
314338892,2987 W 31st Ave,V6L2A5,Vancouver,BC,49.244476,-123.172554,7380000.0,7.0,7.0,4832.0,SINGLE_FAMILY,7380000.0,3327800.0,6534.0,RE/MAX City Realty Brokerage
2060695533,1077 Cordova St W #3306,V6C2C6,Vancouver,BC,49.288555,-123.11806,1298000.0,1.0,1.0,778.0,CONDO,1298000.0,,0.0,Behroyan & Associates Real Estate Services Brokerage
314346801,1491 W 26th Ave,V6H2B3,Vancouver,BC,49.248516,-123.13872,6500000.0,8.0,6.0,5800.0,SINGLE_FAMILY,6500000.0,5190000.0,8712.0,RE/MAX Crest Realty Brokerage
314333836,4042 W 29th Ave,V6S1V5,Vancouver,BC,49.245926,-123.19501,8280000.0,9.0,7.0,5727.0,SINGLE_FAMILY,8280000.0,3866200.0,6969.6,Homeland Realty Brokerage
2059762434,822 Seymour St #909,V6B1L7,Vancouver,BC,49.28042,-123.11891,629800.0,1.0,1.0,531.0,CONDO,629800.0,,0.0,Rennie & Associates Realty Ltd. Brokerage
2076441211,1251 Cardero St #404,V6G2H9,Vancouver,BC,,,428000.0,1.0,1.0,640.0,CONDO,428000.0,,0.0,Pacific Evergreen Realty Ltd. Brokerage
